url,http_status,content_type,title,canonical,h1_count,jsonld_script_count,inbound_html_pages,reachable_from_home
https://rangeljanitorial.com/locations/sacramento/antelope,200,text/html; charset=UTF-8,"Professional Janitorial Services in Antelope, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/antelope,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/north-highlands,200,text/html; charset=UTF-8,"Professional Janitorial Services in North Highlands, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/north-highlands,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/arden-arcade,200,text/html; charset=UTF-8,"Professional Janitorial Services in Arden-Arcade, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/arden-arcade,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/rocklin,200,text/html; charset=UTF-8,"Professional Janitorial Services in Rocklin, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/rocklin,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/lincoln,200,text/html; charset=UTF-8,"Professional Janitorial Services in Lincoln, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/lincoln,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/woodland,200,text/html; charset=UTF-8,"Professional Janitorial Services in Woodland, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/woodland,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/davis,200,text/html; charset=UTF-8,"Professional Janitorial Services in Davis, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/davis,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/loomis,200,text/html; charset=UTF-8,"Professional Janitorial Services in Loomis, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/loomis,1,2,0,False
https://rangeljanitorial.com/locations/sacramento/granite-bay,200,text/html; charset=UTF-8,"Professional Janitorial Services in Granite Bay, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/sacramento/granite-bay,1,2,0,False
https://rangeljanitorial.com/locations/murrieta/murrieta,200,text/html; charset=UTF-8,"Professional Janitorial Services in Murrieta, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/murrieta,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/temecula,200,text/html; charset=UTF-8,"Professional Janitorial Services in Temecula, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/temecula,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/french-valley,200,text/html; charset=UTF-8,"Professional Janitorial Services in French Valley, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/french-valley,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/menifee,200,text/html; charset=UTF-8,"Professional Janitorial Services in Menifee, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/menifee,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/lake-elsinore,200,text/html; charset=UTF-8,"Professional Janitorial Services in Lake Elsinore, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/lake-elsinore,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/hemet,200,text/html; charset=UTF-8,"Professional Janitorial Services in Hemet, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/hemet,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/perris,200,text/html; charset=UTF-8,"Professional Janitorial Services in Perris, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/perris,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/wildomar,200,text/html; charset=UTF-8,"Professional Janitorial Services in Wildomar, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/wildomar,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/canyon-lake,200,text/html; charset=UTF-8,"Professional Janitorial Services in Canyon Lake, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/canyon-lake,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/temescal-valley,200,text/html; charset=UTF-8,"Professional Janitorial Services in Temescal Valley, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/temescal-valley,1,2,1,True
https://rangeljanitorial.com/locations/murrieta/winchester,200,text/html; charset=UTF-8,"Professional Janitorial Services in Winchester, CA | Rangel Janitorial | Rangel Janitorial",https://rangeljanitorial.com/locations/murrieta/winchester,1,2,1,True
